Date,USD
7/24/2023,"1,960.0"
7/25/2023,"1,958.7"
7/26/2023,"1,966.3"
7/27/2023,"1,945.4"
7/28/2023,"1,954.3"
7/31/2023,"1,970.7"
8/1/2023,"1,947.2"
8/2/2023,"1,944.2"
8/3/2023,"1,935.7"
8/4/2023,"1,942.5"
8/7/2023,"1,931.7"
8/8/2023,"1,926.4"
8/9/2023,"1,922.8"
8/10/2023,"1,920.9"
8/11/2023,"1,915.8"
8/14/2023,"1,903.8"
8/15/2023,"1,903.9"
8/16/2023,"1,904.2"
8/17/2023,"1,896.4"
8/18/2023,"1,893.7"
8/21/2023,"1,889.9"
8/22/2023,"1,892.8"
8/23/2023,"1,916.7"
8/24/2023,"1,917.1"
8/25/2023,"1,915.5"
8/28/2023,"1,915.5"
8/29/2023,"1,930.0"
8/30/2023,"1,947.6"
8/31/2023,"1,942.3"
9/1/2023,"1,940.6"
9/4/2023,"1,937.2"
9/5/2023,"1,926.1"
9/6/2023,"1,922.1"
9/7/2023,"1,918.4"
9/8/2023,"1,927.8"
9/11/2023,"1,925.0"
9/12/2023,"1,908.6"
9/13/2023,"1,913.8"
9/14/2023,"1,901.8"
9/15/2023,"1,927.7"
9/18/2023,"1,923.5"
9/19/2023,"1,934.9"
9/20/2023,"1,943.4"
9/21/2023,"1,915.0"
9/22/2023,"1,927.4"
9/25/2023,"1,924.9"
9/26/2023,"1,907.1"
9/27/2023,"1,887.3"
9/28/2023,"1,873.6"
9/29/2023,"1,870.5"
10/2/2023,"1,833.1"
10/3/2023,"1,822.5"
10/4/2023,"1,819.0"
10/5/2023,"1,819.5"
10/6/2023,"1,819.6"
10/9/2023,"1,845.5"
10/10/2023,"1,857.0"
10/11/2023,"1,871.3"
10/12/2023,"1,874.0"
10/13/2023,"1,909.2"
10/16/2023,"1,918.1"
10/17/2023,"1,928.2"
10/18/2023,"1,955.7"
10/19/2023,"1,953.6"
10/20/2023,"1,988.5"
10/23/2023,"1,973.0"
10/24/2023,"1,963.7"
10/25/2023,"1,983.3"
10/26/2023,"1,975.0"
10/27/2023,"1,982.9"
10/30/2023,"1,997.6"
10/31/2023,"1,996.9"
11/1/2023,"1,986.4"
11/2/2023,"1,983.6"
11/3/2023,"1,994.5"
11/6/2023,"1,984.6"
11/7/2023,"1,960.7"
11/8/2023,"1,959.4"
11/9/2023,"1,957.5"
11/10/2023,"1,941.7"
11/13/2023,"1,931.2"
11/14/2023,"1,969.1"
11/15/2023,"1,958.2"
11/16/2023,"1,980.1"
11/17/2023,"1,981.1"
11/20/2023,"1,968.7"
11/21/2023,"2,006.6"
11/22/2023,"1,997.6"
11/23/2023,"1,992.9"
11/24/2023,"2,000.9"
11/27/2023,"2,013.7"
11/28/2023,"2,025.7"
11/29/2023,"2,047.0"
11/30/2023,"2,035.5"
12/1/2023,"2,045.4"
12/4/2023,"2,049.1"
12/5/2023,"2,023.4"
12/6/2023,"2,026.4"
12/7/2023,"2,026.9"
12/8/2023,"2,008.1"
12/11/2023,"1,986.7"
12/12/2023,"1,980.9"
12/13/2023,"1,982.5"
12/14/2023,"2,046.1"
12/15/2023,"2,032.3"
12/18/2023,"2,024.0"
12/19/2023,"2,041.4"
12/20/2023,"2,035.6"
12/21/2023,"2,041.7"
12/22/2023,"2,041.7"
12/25/2023,"2,041.7"
12/26/2023,"2,041.7"
12/27/2023,"2,069.4"
12/28/2023,"2,078.4"
